episode: 58, gamma:18, best reward so far: -17.7054, best reward of the current generation: -20.5440, sigma: 0.050, time_generation: 48.06, rollout_time: 47.85, eval_time: 0.20

episode: 59, gamma:18, best reward so far: -17.7054, best reward of the current generation: -22.9223, sigma: 0.050, time_generation: 34.40, rollout_time: 34.27, eval_time: 0.12
episode: 59, gamma:1, current testing reward: -59.2068, current testing VM_cost: 14.9440, current testing SLA_penalty: 44.2628, current testing_time: 1.46

episode: 60, gamma:18, best reward so far: -17.7054, best reward of the current generation: -24.0960, sigma: 0.050, time_generation: 28.90, rollout_time: 28.82, eval_time: 0.09

episode: 61, gamma:18, best reward so far: -17.7054, best reward of the current generation: -21.6960, sigma: 0.050, time_generation: 30.30, rollout_time: 30.22, eval_time: 0.08

episode: 62, gamma:18, best reward so far: -17.7054, best reward of the current generation: -23.3173, sigma: 0.050, time_generation: 30.08, rollout_time: 30.00, eval_time: 0.07

episode: 63, gamma:18, best reward so far: -16.9920, best reward of the current generation: -16.9920, sigma: 0.050, time_generation: 27.61, rollout_time: 27.53, eval_time: 0.07

episode: 64, gamma:18, best reward so far: -16.9920, best reward of the current generation: -21.1200, sigma: 0.050, time_generation: 28.39, rollout_time: 28.32, eval_time: 0.07

episode: 65, gamma:18, best reward so far: -16.9920, best reward of the current generation: -25.2098, sigma: 0.050, time_generation: 25.97, rollout_time: 25.90, eval_time: 0.07

episode: 66, gamma:18, best reward so far: -16.9920, best reward of the current generation: -19.4880, sigma: 0.050, time_generation: 58.28, rollout_time: 57.87, eval_time: 0.42

episode: 67, gamma:18, best reward so far: -16.9920, best reward of the current generation: -19.2960, sigma: 0.050, time_generation: 44.45, rollout_time: 44.24, eval_time: 0.11

episode: 68, gamma:18, best reward so far: -16.9920, best reward of the current generation: -21.0240, sigma: 0.050, time_generation: 41.59, rollout_time: 41.45, eval_time: 0.13

episode: 69, gamma:18, best reward so far: -16.9920, best reward of the current generation: -19.6800, sigma: 0.050, time_generation: 85.58, rollout_time: 85.43, eval_time: 0.15

episode: 70, gamma:18, best reward so far: -16.9920, best reward of the current generation: -19.6631, sigma: 0.050, time_generation: 37.14, rollout_time: 36.97, eval_time: 0.17

episode: 71, gamma:18, best reward so far: -16.8960, best reward of the current generation: -16.8960, sigma: 0.050, time_generation: 49.35, rollout_time: 49.18, eval_time: 0.16

episode: 72, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.9520, sigma: 0.050, time_generation: 37.85, rollout_time: 37.72, eval_time: 0.13

episode: 73, gamma:18, best reward so far: -16.8960, best reward of the current generation: -23.8080, sigma: 0.050, time_generation: 41.17, rollout_time: 41.05, eval_time: 0.11

episode: 74, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.4880, sigma: 0.050, time_generation: 34.68, rollout_time: 34.56, eval_time: 0.11

episode: 75, gamma:18, best reward so far: -16.8960, best reward of the current generation: -20.2560, sigma: 0.050, time_generation: 31.31, rollout_time: 31.22, eval_time: 0.08

episode: 76, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.5840, sigma: 0.050, time_generation: 32.72, rollout_time: 32.64, eval_time: 0.08

episode: 77, gamma:18, best reward so far: -16.8960, best reward of the current generation: -20.8320, sigma: 0.050, time_generation: 30.40, rollout_time: 30.30, eval_time: 0.09

episode: 78, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.9520, sigma: 0.050, time_generation: 31.05, rollout_time: 29.86, eval_time: 1.18

episode: 79, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.6800, sigma: 0.050, time_generation: 31.11, rollout_time: 31.03, eval_time: 0.08
episode: 79, gamma:1, current testing reward: -27.8442, current testing VM_cost: 22.5600, current testing SLA_penalty: 5.2842, current testing_time: 1.92

episode: 80, gamma:18, best reward so far: -16.8960, best reward of the current generation: -20.8320, sigma: 0.050, time_generation: 29.01, rollout_time: 28.94, eval_time: 0.06

episode: 81, gamma:18, best reward so far: -16.8960, best reward of the current generation: -20.3520, sigma: 0.050, time_generation: 31.80, rollout_time: 31.72, eval_time: 0.08

episode: 82, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.5280, sigma: 0.050, time_generation: 31.59, rollout_time: 31.51, eval_time: 0.08

episode: 83, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.2000, sigma: 0.050, time_generation: 34.33, rollout_time: 34.21, eval_time: 0.11

episode: 84, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.6800, sigma: 0.050, time_generation: 33.01, rollout_time: 32.93, eval_time: 0.08

episode: 85, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.9120, sigma: 0.050, time_generation: 33.92, rollout_time: 33.83, eval_time: 0.09

episode: 86, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.1040, sigma: 0.050, time_generation: 36.74, rollout_time: 36.62, eval_time: 0.11

episode: 87, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.6240, sigma: 0.050, time_generation: 35.94, rollout_time: 35.83, eval_time: 0.10

episode: 88, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.3360, sigma: 0.050, time_generation: 35.19, rollout_time: 35.10, eval_time: 0.09

episode: 89, gamma:18, best reward so far: -16.8960, best reward of the current generation: -20.7360, sigma: 0.050, time_generation: 31.65, rollout_time: 31.53, eval_time: 0.12

episode: 90, gamma:18, best reward so far: -16.8960, best reward of the current generation: -21.1128, sigma: 0.050, time_generation: 32.06, rollout_time: 31.95, eval_time: 0.10

episode: 91, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.2800, sigma: 0.050, time_generation: 34.68, rollout_time: 34.53, eval_time: 0.15

episode: 92, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.1040, sigma: 0.050, time_generation: 55.99, rollout_time: 55.79, eval_time: 0.19

episode: 93, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.8560, sigma: 0.050, time_generation: 70.17, rollout_time: 70.00, eval_time: 0.17

episode: 94, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.9520, sigma: 0.050, time_generation: 267.41, rollout_time: 264.95, eval_time: 2.44

episode: 95, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.2960, sigma: 0.050, time_generation: 56.59, rollout_time: 56.46, eval_time: 0.13

episode: 96, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.7600, sigma: 0.050, time_generation: 45.11, rollout_time: 44.98, eval_time: 0.12

episode: 97, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.2000, sigma: 0.050, time_generation: 38.98, rollout_time: 38.85, eval_time: 0.13

episode: 98, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.8560, sigma: 0.050, time_generation: 37.46, rollout_time: 37.36, eval_time: 0.10

episode: 99, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.8560, sigma: 0.050, time_generation: 34.40, rollout_time: 34.29, eval_time: 0.10
episode: 99, gamma:1, current testing reward: -23.6800, current testing VM_cost: 23.6800, current testing SLA_penalty: 0.0000, current testing_time: 2.74

episode: 100, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.1440, sigma: 0.050, time_generation: 31.40, rollout_time: 31.33, eval_time: 0.07

episode: 101, gamma:18, best reward so far: -16.8960, best reward of the current generation: -20.1600, sigma: 0.050, time_generation: 30.35, rollout_time: 30.28, eval_time: 0.06

episode: 102, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.0480, sigma: 0.050, time_generation: 29.94, rollout_time: 29.85, eval_time: 0.08

episode: 103, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.4320, sigma: 0.050, time_generation: 32.42, rollout_time: 32.34, eval_time: 0.08

episode: 104, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.3920, sigma: 0.050, time_generation: 29.04, rollout_time: 28.93, eval_time: 0.10

episode: 105, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.5680, sigma: 0.050, time_generation: 35.66, rollout_time: 35.57, eval_time: 0.08

episode: 106, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.8160, sigma: 0.050, time_generation: 36.09, rollout_time: 36.00, eval_time: 0.08

episode: 107, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.2400, sigma: 0.050, time_generation: 37.82, rollout_time: 37.70, eval_time: 0.11

episode: 108, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.7200, sigma: 0.050, time_generation: 35.19, rollout_time: 35.09, eval_time: 0.10

episode: 109, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.5840, sigma: 0.050, time_generation: 36.98, rollout_time: 36.87, eval_time: 0.10

episode: 110, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.0480, sigma: 0.050, time_generation: 32.55, rollout_time: 32.45, eval_time: 0.10

episode: 111, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.1440, sigma: 0.050, time_generation: 33.75, rollout_time: 33.67, eval_time: 0.08

episode: 112, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.4880, sigma: 0.050, time_generation: 36.85, rollout_time: 36.72, eval_time: 0.12

episode: 113, gamma:18, best reward so far: -16.8960, best reward of the current generation: -20.6400, sigma: 0.050, time_generation: 52.35, rollout_time: 52.20, eval_time: 0.14

episode: 114, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.7600, sigma: 0.050, time_generation: 41.24, rollout_time: 41.16, eval_time: 0.08

episode: 115, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.7760, sigma: 0.050, time_generation: 1039.90, rollout_time: 1039.56, eval_time: 0.33

episode: 116, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.3920, sigma: 0.050, time_generation: 50.49, rollout_time: 50.28, eval_time: 0.18

episode: 117, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.5840, sigma: 0.050, time_generation: 37.83, rollout_time: 37.71, eval_time: 0.12

episode: 118, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.1040, sigma: 0.050, time_generation: 34.85, rollout_time: 34.76, eval_time: 0.08

episode: 119, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.0080, sigma: 0.050, time_generation: 39.54, rollout_time: 39.33, eval_time: 0.21
episode: 119, gamma:1, current testing reward: -23.8400, current testing VM_cost: 23.8400, current testing SLA_penalty: 0.0000, current testing_time: 2.71

episode: 120, gamma:18, best reward so far: -16.8960, best reward of the current generation: -18.0480, sigma: 0.050, time_generation: 32.60, rollout_time: 32.53, eval_time: 0.07

episode: 121, gamma:18, best reward so far: -16.8960, best reward of the current generation: -19.0080, sigma: 0.050, time_generation: 40.32, rollout_time: 40.23, eval_time: 0.09

episode: 122, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.3760, sigma: 0.050, time_generation: 33.02, rollout_time: 32.92, eval_time: 0.10

episode: 123, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.7600, sigma: 0.050, time_generation: 31.18, rollout_time: 31.10, eval_time: 0.07

episode: 124, gamma:18, best reward so far: -16.8960, best reward of the current generation: -17.4720, sigma: 0.050, time_generation: 30.20, rollout_time: 30.13, eval_time: 0.07


# eval_rl.py

current testing reward: -149.6320, current VM cost: 149.6320, current SLA penalty: 0.0000, testing_time: 3.64
